Manufacturer,Channel,Training Upto,November 2021,December 2021,January 2022,February 2022,March 2022,April 2022,May 2022,June 2022,July 2022,August 2022,September 2022,Overall MAE
COMESTIBLES,DTS,October 2021,0.2071906059019284,0.09195410635856405,0.5355354356118713,0.29245716250329856,0.5208088752866029,0.4780495663341924,0.7140708767635928,0.9109707440582362,0.6766400890030067,0.6480681444990513,0.7844716177395981,0.5327470203690857
COMESTIBLES,SUPERCADENAS,October 2021,0.16805950092213262,0.06874645591929252,0.3277656384888914,0.5739192516297491,0.4063119891975844,0.1332245183349512,0.011499837564613813,0.0012029364193777425,0.09757134268220558,0.45395580944784797,0.10387026299937574,0.21328432214600201
COMESTIBLES,SUPERETES,October 2021,0.6826954717333553,1.617230880509105,1.2844517309136911,1.1791812604424958,1.0747846485643429,0.6624143312875983,0.3622475090524482,0.30595952872624643,0.17755670826094772,1.356883125745048,1.3299118414115707,0.912119730604259
OTROS,DTS,October 2021,0.03470377109218248,0.04080263351928792,0.3997976045934113,0.07034814866573136,0.1800660435230128,0.22298204588221004,0.039428595480186956,0.3092335173472698,0.46186924678687014,0.6154819621628249,0.8199977711468964,0.2904283036545349
OTROS,SUPERCADENAS,October 2021,0.14476819893590687,0.5687202523255124,0.6126427705848059,1.5469595077945542,0.2881394365878265,0.3295111136024502,0.35155504382688463,0.927819480671431,3.2559025305155203,3.115168013748736,3.1305788510886856,1.2974331999711195
OTROS,SUPERETES,October 2021,0.057208618361585195,0.5466731659156423,0.119121171333056,0.527714475993939,0.17710100509499682,1.3647107797821008,0.5123573706527438,0.8032010090205617,1.3452720371892255,1.7283433289580152,2.211278110687253,0.8539073702717381
PEPSICO,DTS,October 2021,0.4678968673078998,0.6851101912327806,1.1073495828031383,1.7138459712814154,2.1985500767310953,2.855125144931691,2.994499225997309,3.7774511331224545,3.9172337832408886,4.345145236794764,4.169494812863476,2.566518366027901
PEPSICO,SUPERCADENAS,October 2021,1.1943547341232588,1.9187478796069541,2.172817591760648,1.1541447968714706,0.5257182894332075,1.6373984799998809,0.09601179134459414,1.6015520028386945,3.8192544287792174,3.1725307110786503,3.7334418076374476,1.9114520466794567
PEPSICO,SUPERETES,October 2021,1.0518009126939418,1.116592430059363,1.6543740805023361,1.9637818640998361,0.7622841173725661,0.8263245592312742,0.6826261426408706,1.2794717908985618,0.9059708414800127,0.05228628321956563,0.8529408256181839,1.0134958043469557
RAMO,DTS,October 2021,0.1557164974735299,0.29167618729017697,0.3768313097829403,0.4213994357756481,0.46395016845573434,0.2960323976713326,0.39464545274848284,0.6284599225334206,0.7289782209156441,0.8886544515867172,0.9358028658396917,0.5074679009157563
RAMO,SUPERCADENAS,October 2021,0.014338241502910964,0.06849673450648464,0.2804861488306356,0.508192419253318,0.5183490950466734,0.08441806388758843,0.4052526960139735,0.044854707888225764,0.04787366477097654,0.05144461136042677,0.15585868908959766,0.19814227928643738
RAMO,SUPERETES,October 2021,0.06496402682594304,0.15739852142591193,0.057932840579028255,0.1677098736153817,0.6252779674864617,0.37962195672292776,0.30123307204587046,0.10804717066902203,0.15637856662535388,0.3806898659578124,0.3818652354190606,0.2528290088520703
YUPI,DTS,October 2021,0.07028599284026882,0.2606772640647481,0.5947804420017455,1.0703375216681916,1.393857076511761,1.8580611350439504,1.9252114919654275,1.9287869491835359,2.0497462265353654,2.1929406785461687,1.6292225581372985,1.361264303318042
YUPI,SUPERCADENAS,October 2021,1.4928441924783797,1.2127844368556762,1.6074543108340968,0.3270878785466511,0.9258948318701261,1.0902447841749003,0.05381397672211108,0.7197901664748692,0.417906890810527,0.45987389541731627,0.5508745304585307,0.8053245358766531
YUPI,SUPERETES,October 2021,0.3768608494249541,0.2034332368918328,0.43111068034266076,0.4245960012788004,0.48987844138968484,0.25559384598614443,0.49321180911016427,0.06226408248273607,0.41812305407359496,0.8044363523903364,0.41029067907655126,0.39725445749522365
COMESTIBLES,DTS,November 2021,,0.074671017759119,0.5524922939850132,0.599285014273299,1.0159487199383506,0.7175556840482997,0.7856526426692234,0.32450180359680836,1.0308441130760908,1.236603047412908,1.1964830051082114,0.7534037341867323
COMESTIBLES,SUPERCADENAS,November 2021,,0.14137973826530326,0.2417279277820512,0.14004072101831033,0.3310454156947853,0.22639031964054457,0.47447049462278423,0.3935520370474963,0.6882587288113626,0.05595372511595942,0.6287282279177271,0.33215473359163245
COMESTIBLES,SUPERETES,November 2021,,0.5419464413213522,0.744466972620156,0.2860543074568156,0.2906033489818949,0.06587893994910843,1.0328758851266073,1.2261192546701238,0.7418672502477737,0.33302108637222894,0.14547440347596208,0.5408307890222023
OTROS,DTS,November 2021,,0.18972567299106657,0.35224625433178147,1.2560457283926478,1.6256499929758217,1.406032830336743,0.9545935881425134,0.07347271336012184,0.31392638557475294,0.10287152624146856,0.21533312812327843,0.6489897820470196
OTROS,SUPERCADENAS,November 2021,,1.7313611294642044,1.271053129626317,2.7908585002715824,2.503955349278897,0.14603772416759142,1.4892427970980862,2.4707679634072335,4.332552599478618,4.4335170998398965,4.01812713896652,2.5187473431598946
OTROS,SUPERETES,November 2021,,0.15489188067783388,0.23709931918609684,0.7478395051710187,0.00827361470764032,1.0190797432311811,0.07856935525095565,0.07253824202849302,0.5548284655571116,1.1237267012426173,1.8636967233590873,0.5860543550412036
PEPSICO,DTS,November 2021,,0.30711043716616615,0.45607596417543306,1.212041793228039,1.698852618045656,0.8134775639304408,0.12398654934426645,1.5665253943910642,0.3506442429615859,0.7083119115307,0.815440829810079,0.805246730458343
